CIN_Number,Company Name,Net_Profit(14-15),CSR_spent(14-15),Net_Profit(15-16),CSR_spent(15-16),Net_Profit(16-17),CSR_spent(16-17),Net_Profit(17-18),CSR_spent(17-18),Net_Profit(18-19),CSR_spent(18-19)
L15494WB1895PLC000963,THE GROB TEA CO LTD,0,0,3.910588,0.2,4,0.08,2.92,0.25,NA,NA
L15499TN1986PLC012747,Hatsun Agro Product Limited,56.8,0,61.86,1.24,87.59,1.75,0,2.64,141.46,5.69
L15500DL1994PLC153183,REGENT ENTERPRISES LIMITED,NA,NA,NA,NA,NA,NA,0,0.01,1,0.02
L15500MH1981PLC025809,G M Breweries Limited,16.81,0.34,18.03,0.36,49.63,0.99,61.2,1.34,0,1.78
L15500WB1981PLC033900,Ankit India Limited,0,0,5.9,0.12,5.29,0.11,4.47,0,NA,NA
L15500WB1997PLC085661,Dhunseri Tea & Industries Limited,10,0.2,16.4,0.33,21.41,0.43,19.6,0.39,15.59,0.31
L15511TN1983PLC010313,Empee Distilleries Limited,13.4,0.27,10.38,0.21,13.76,0.28,0,0,NA,NA
L15520HP1934PLC000135,MOHAN MEAKIN LIMITED,NA,NA,0,0,0,0,5.15,0,6.25,0
L15520MP1989PLC049380,ASSOCIATED ALCOHOLS & BREWERIES LTD.,NA,NA,NA,NA,NA,NA,NA,NA,31.09,0.06
L15520WB1989PLC047211,Associated Alcohols & Breweries Ltd.,6.14,0.12,11.24,0.22,17.49,0.35,23.52,0.12,NA,NA
L15549GJ2010PLC063283,Manpasand Beverages Limited,16.32,0.33,24.27,0.49,0,0.7,51.85,1.17,79.89,0.06
L16001AP1993PLC095778,Avanti Feeds Limited,67.93,1.36,119.7005603,0.4380879,189.23,0.83,257.7,6.05,385.78,4.97
L16003WB2006PLC110039,Rdb Realty & Infrastructure Limited,0.15,0.15,4.09,0.08,0.66,0.02,0.86,0.03,0.84,0.03
L16004MH1936PLC008587,Godfrey Phillips India Limited,249.5,4.99,247.99,4.96,250.57,5.01,216.01,4.35,198.03,5.41
L16005WB1910PLC001985,Itc Limited,0.00106,226.95,0.00123,249,0.001376329,275.27,0,0,0.001532774,306.95
L16008UP1983PLC006254,Kothari Products Limited.,76.05,1.52,75.58,1.52,71.29,1.43,84.23,0,87.02,4.74
L17100DN1985PLC005561,BLUE CHIP TEX INDUSTRIES LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,0,0.09
L17100MH1905PLC000200,Phoenix Mills Limited,30,3.5,166.0129126,0.3626873,176.62,0.9,162.15,1.63,176.97,1.45
L17100MH1909PLC000294,Swan Energy Limited,NA,NA,15.9,0.32,5.81,0.12,3.9,0.12,32.03,0.21
L17100MH1946PLC004886,Nesco Limited,109.13,2.18,130.12,2.6,162.47,3.25,0,4.11,229.85,4.62
L17100MH1984PLC033143,Zodiac Clothing Company Limited,13.49,0.27,11.64,0.23,3.59,0.07,0,0.3,NA,NA
L17100TN2007PLC065226,S V Global Mill Limited,NA,NA,47.34,0.95,NA,NA,0,0,NA,NA
L17100WB1923PLC004628,GLOSTER LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,47.85,0.86
L17110DN1986PLC000334,Alok Industries Limited,0,1.35,850,13.05,NA,NA,NA,NA,NA,NA
L17110GJ1913PLC000035,Mafatlal Industries Limited,3.08,0.06,16.87,0.36,0,0,0,0.02,NA,NA
L17110GJ1919PLC000495,P B M Polytex Limited,17.26,0.35,22.54,0.45,19.13,0.38,0,0,9.1,42.55
L17110GJ1931PLC000454,Sintex Industries Limited,0,0.47,469,1.31,605.29,0,503.23,9.55,0,9.51
L17110GJ1985PLC008206,Vishal Fabrics Limited,NA,NA,0,0.1,0,1.13,15.42,0.34,0,0
L17110GJ1985PLC033271,Welspun India Limited,125.01,2.5,286.08,5.72,542.62,10.85,670.52,11,568.55,10.83
L17110GJ1986PLC008942,Jindal Worldwide Limited,21.74,0.43,22.6,0,0,0.55,0,0.01,0,1
L17110GJ1988PLC010504,Aarvee Denims And Exports Ltd,28.86,0.58,22.825,0,8.55,0,8.17,0,7.1,0.01
L17110GJ1995PLC027025,Asian Granito India Limited,24.97,0.5,15.24,0.97,0,0.46,0,0.55,0,0.75
L17110MH1912PLC000351,Simplex Realty Limited,6.49,0.13,6.42,0.01,6.47,0.13,NA,NA,NA,NA
L17110MH1919PLC000628,FORBES & COMPANY LIMITED,0,0,0,0,0,0,10.02,0.01,26,0.48
L17110MH1973PLC019786,Reliance Industries Limited,0.00266,533,0.00279,557.78,0.003102051,659.2,0.003515419,745.04,0.004055813,849.32
L17110MH1987PLC044835,Lovable Lingerie Limited,27.35,0.03,27.09092197,0.01665,29.39,0.59,0,0,0,1.04
L17110MH1987PLC045575,Damodar Industries Limited,16.67,0.33,19.84,0.4,18.77,0.38,16.76,0.15,17.16,0.27
L17110TG1962PLC000915,STARLITE GLOBAL ENTERPRISES (INDIA) LIMITED.,NA,NA,NA,NA,NA,NA,0,0.07,NA,NA
L17111GJ1979PLC003463,Garden Silk Mills Limited,0,0.16,0,0.08,0,0.12,0,0.01,0,0
L17111GJ2003PLC043354,Cil Nova Petrochemicals Limited,NA,NA,NA,NA,5.62,0.11,0,0.14,NA,NA
L17111HP1982PLC016465,Deepak Spinners Ltd,17.33,0,17.42,0.02,17.95,0.36,13.31,0.05,0,0.03
L17111PB1962PLC002463,Vardhman Holdings Limited,14.83,0,20.56,0.1,32.9,0.5,0,0,98.59,0.97
L17111PB1973PLC003345,Vardhman Textiles Limited,433.98,6,588.05,11.76,NA,NA,0,0,941.69,6.44
L17111RJ1992PLC006987,Nitin Spinners Limited,24.67,0.49,42.76,0.86,57.27,1.15,0,0,68.96,1.42
L17111TN1936PLC002298,Rajapalayam Mills Limited,22.29,0.45,29.29,0.59,30.28,0.79,0,0.63,0,0.73
L17111TN1946PLC001361,Loyal Textile Mills Limited,13.24,0,19.19,0.38,26.53,0.5,23.75,0.47,24.32,0.49
L17111TN1946PLC003270,Vtm Limited,13.04,0.26,14.54,0.29,9.53,0.19,14.26,0.29,0,0.01
L17111TN1969PLC005736,BINNY LIMITED,NA,NA,NA,NA,NA,NA,90.98,0,146.61,0
L17111TZ1973PLC000675,Sambandam Spinning Mills Limited,1.35,0.03,10.75,0.22,6.65,0.13,5.13,0.04,4.58,0.09
L17111TZ1976PLC000762,KANDAGIRI SPINNING MILLS LIMITED,NA,NA,5.45,0.02,NA,NA,0,0.01,NA,NA
L17111TZ1981PLC001109,Super Sales India Limited,5,0.1,19.09,0.38,21.34,0.43,22.18,0.45,20.67,0.42
L17111TZ1987PLC002090,Amarjothi Spinning Mills Limited,NA,NA,16.81,0.34,17.81,0.36,15.45,0.31,14.02,0
L17111TZ1989PLC002476,Bannari Amman Spinning Mills Limited,14.17,0.28,23.9,0.48,20.98,0.31,20.44,0.21,16.6,0.05
L17111TZ1994PLC004797,Salona Cotspin Limited,1.46,0.03,4.63,0.09,0,0.09,0,0,0,0
L17111TZ1994PLC004929,Lambodhara Textiles Limited,3.81,0.08,5.31,0.11,5.66,0.11,7.42,0.17,8.24,0.17
L17111TZ2003PLC010518,K.P.R. Mill Limited,115.96,2.32,169.07,3.38,196.07,3.92,239.94,4.82,NA,NA
L17111TZ2015PLC022007,SHIVA MILLS LIMITED,NA,NA,NA,NA,NA,NA,NA,NA,5.49,0.11
L17111UP1974PLC003979,Jindal Poly Films Limited,108.33,7.46,129.62,2.59,190.95,0.85,240.37,1.29,169.92,2.06
L17111WB1961PLC120975,UDAIPUR COTTON MILLS CO LTD,NA,NA,NA,NA,NA,NA,5.69,0,NA,NA
L17112KA1985PLC006647,Himatsingka Seide Limited.,44.92,0.01,75.2,1.5,125.16,1.81,0,0.62,250.63,2.19
L17115HP1980PLC005647,Winsome Textile Industries Limited,NA,NA,23.41,0.47,0,0.53,25.43,0,22.55,0
L17115HR1993PLC032108,RICHA INDUSTRIES LIMITED,0,0,17.18,0.35,8.72,0.17,20.72,0.05,NA,NA
L17115PB1979PLC003994,Shreyans Industries Limited,12.35,0.25,14.723,0.3572,14.57,0.29,0,0.23,30.66,0.44
L17115PB1980PLC004341,Nahar Spinning Mills Ltd,55.26,0,59.63,1.2,86.15,1.72,53.61,0,0,0
L17115PB1988PLC008820,Nahar Poly Films Limited,0.85,0,NA,NA,8.32,0,10.92,0,10.88,0
